study_doc_id,asset_type,home_member_state,competent_authority,last_update,format_hint,whitepaper_url,preferred_filename,included,exclusion_reason,register_row_hash_sha256
WP-001,Title II / crypto-assets other than ARTs or EMTs,Germany,Federal Financial Supervisory Authority (BaFin),2026-06-30,XHTML preferred; PDF also available,https://white-paper.crypto-risk-metrics.com/2026-05-29-White-paper-Ethereum-Eth-FFG-D5RG2FHH0.xhtml,WP-001_crypto-risk-metrics_ethereum-eth.xhtml,True,,2df244821643f1a5817ecda2073271ed01085a938671385181749bbeba1fc98c
WP-002,Title II / crypto-assets other than ARTs or EMTs,Ireland,Central Bank of Ireland (CBI),2026-06-15,HTML,https://iotrader.io/whitepaper.html,WP-002_iotrader_ioi.html,True,,7866a48621186486190cfa79ab10612ef0e8ca80b2c47ffa5ffff814c3e722a5
WP-003,Title II / crypto-assets other than ARTs or EMTs,Luxembourg,Commission de Surveillance du Secteur Financier (CSSF),2026-06-12,Inline XBRL XHTML,https://assets.bitstamp.net/docs/whitepaper/FLR_2026_06_10.xhtml,WP-003_bitstamp_flr.xhtml,True,,d5b9ea7a469821403b8f6f23b6a72f5f30d6d64de6bf94bdff37dcad0831f29c
WP-004,Title II / crypto-assets other than ARTs or EMTs,Luxembourg,Commission de Surveillance du Secteur Financier (CSSF),2026-06-12,Inline XBRL XHTML,https://assets.bitstamp.net/docs/whitepaper/WLD_2026_06_10.xhtml,WP-004_bitstamp_wld.xhtml,True,,a25d8bf4c4e22b60e869b37ea2a047898bd2acf99336d5814a69c7504ab4b460
WP-005,Title II / crypto-assets other than ARTs or EMTs,Luxembourg,Commission de Surveillance du Secteur Financier (CSSF),2026-06-12,Inline XBRL XHTML,https://assets.bitstamp.net/docs/whitepaper/BERA_2026_06_10.xhtml,WP-005_bitstamp_bera.xhtml,True,,f441b509a276ddd96bfff18c3e5513b218ae9706e3e7a1765f4f16e08fa3fd16
WP-007,Title II / crypto-assets other than ARTs or EMTs,Malta,Malta Financial Services Authority (MFSA),2026-06-11,HTML documentation page,https://docs.bonzo.finance/hub/legal/micar-whitepaper,WP-007_bonzo_reserve_bonzo.html,True,,344f68dc197997cde1e135048bec16838f4fcfcb505cfffc67199861a2b34400
WP-009,Title II / crypto-assets other than ARTs or EMTs,Malta,Malta Financial Services Authority (MFSA),2026-06-11,PDF,https://45047878.fs1.hubspotusercontent-na1.net/hubfs/45047878/NIGHT%20MiCA%20White%20Paper.pdf,WP-009_midnight_night.pdf,True,,e56f09ec1ae72ab835be5de702ab8210f115a323e70fd7d4dc38f16d00856f01
WP-010,Title II / crypto-assets other than ARTs or EMTs,Malta,Malta Financial Services Authority (MFSA),2026-06-11,PDF,https://store.s.technology/wp-content/uploads/2025/09/serenity-white-paper-2025-legal.pdf,WP-010_quantid_serenity_sersh.pdf,True,,16d4fad2dccd4d557fbc29902d1d00c6d954a694a559b543b3e3072c2b9b4953
WP-011,Title II / crypto-assets other than ARTs or EMTs,Malta,Malta Financial Services Authority (MFSA),2026-06-11,PDF-rendered URL,https://www.socios.com/legal-hub/tokens/whitepapers/city-whitepaper/en/,WP-011_socios_city.pdf,True,,7098f26c57113c24a81d00c8ef6a2beb89ec96309c8d564b9d0df8c68d61d79d
WP-012,Title II / crypto-assets other than ARTs or EMTs,Malta,Malta Financial Services Authority (MFSA),2026-06-11,PDF-rendered URL,https://www.socios.com/legal-hub/tokens/whitepapers/acm-whitepaper/en/,WP-012_socios_acm.pdf,True,,e487cebcc433de870a1b8eac975012d78deb83529559a9831b7bf1b1c2c70779
